__label__5	tôi cần mẫu biểu cấp t24
__label__5	tôi vào thưc mục ổ p nhưng không tìm thấy giấy đề nghị cấp t24?
__label__6	đối tượng nào được cấp mới tài khoản t24?
__label__6	đối với chức danh gì thì sẽ được cấp t24?
__label__6	làm cro cần phải có user t24 không?
__label__6	những ai được cấp tài khoản t24
__label__6	tôi là lái xe thì có được cấp t24 không?
__label__7	đã gửi biểu mẫu cấp user t24 nhờ anh chị hỗ trợ? 
__label__8	t tưởng vừa vào sea là phải mặc định dc t24 chứ, cần hướng dẫn gấp
__label__8	nhân viên seabank có được mặc định cấp user t24 không
__label__9	cấp user hạch toán cho gdv nguyen thi hai anh theo hồ sơ đính kèm
__label__9	it support hỗ trợ cấp user t24 theo đề nghị đính kèm.
__label__10	tại sao tôi chưa có user t24
__label__10	tôi là nhân viên mới, hiện muốn đăng nhập t24 thì làm như thế nào?
__label__10	cấp t24 cần chính chủ gửi mail hay nhờ nhân sự tại cn gửi 
__label__10	e muốn cấp t24, way4
__label__10	hướng dẫn điền mẫu biểu cấp t24
__label__10	phải cấp mới t24 thì mới làm được việc ah?
__label__10	tài khoản t24 và máy tính có chung nhau không, hay cấp riêng
__label__10	hôm trước em có gửi mail về việc cấp user t24 nhưng do bị thiếu chữ ký trên đơn đề nghị, nay em bổ sung bản đầy đủ 
